lineup_id,tier,temperature,player_ids,total_salary,milp_projection,mean,median,p10,p90,std,skewness,fitness
91,2,1.01,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-103587,123617-12543",60000,118.9,124.47561456291083,120.60040742506216,92.8465775795592,160.97086547932582,28.03106076234746,0.1382468958525473,68.12428789976663
child_692612,2,0.3,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-167620,123617-103539,123617-86080,123617-102965",59300,119.5,125.62241390608966,122.55349196960518,93.07820846480715,161.2003534419716,28.171411383297162,0.10893745772013576,68.12214497716445
child_108198,3,2.424265384939839,"123617-138820,123617-152647,123617-110484,123617-12548,123617-90573,123617-86518,123617-86312,123617-86080,123617-152316",59700,118.2,123.3139755223713,119.82825874782083,91.25373038169329,159.37049147632092,27.654245740126253,0.12604635133811298,68.11676109462763
81,2,0.91,"123617-138820,123617-55050,123617-152647,123617-89951,123617-90573,123617-103539,123617-151903,123617-86080,123617-12534",59900,118.9,123.58459507863518,120.29603253533524,91.60410266844066,159.64172744896123,27.544683435587817,0.1193901012146363,68.03762478052057
36,2,0.46,"123617-138820,123617-55050,123617-152316,123617-90573,123617-86518,123617-110484,123617-151903,123617-40845,123617-12537",60000,119.29999999999998,124.18735883065172,121.38612558121096,91.58828453471637,159.5989865125252,27.63414674240198,0.1013685450668372,68.01070197780882
72,2,0.8200000000000001,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-57403,123617-110484,123617-86080,123617-12546",60000,119.0,123.93351936161436,120.1931199971326,92.54604887755949,160.51517935294575,27.349265452885646,0.1367641617624179,67.96913047538627
43,2,0.53,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12529",60000,119.2,124.77207501814962,121.682216552987,92.73878399452607,160.707700440709,27.618011457156417,0.1118783830601228,67.96891644618293
child_360144,3,2.547721682791299,"123617-138820,123617-55050,123617-110484,123617-12534,123617-103539,123617-151903,123617-86312,123617-86080,123617-62239",59500,118.1,122.69057193448702,119.42339943806067,90.80559051820211,158.77167046852762,27.8228973840493,0.11742747174488755,67.96607995032551
6,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-40845,123617-12534",59900,119.89999999999998,124.79129877513108,121.64716810115956,93.0003376043168,160.92343548770594,27.177279900463123,0.1156896748124501,67.92309788338915
9,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12542",60000,119.89999999999998,125.03293867273705,121.32474665532096,93.27956102141935,161.19229048774403,27.891369033088353,0.1329512371019487,67.91272946632468
55,2,0.65,"123617-138820,123617-55050,123617-6654,123617-167620,123617-86518,123617-110484,123617-151903,123617-40845,123617-12539",60000,119.09999999999998,124.17551740207884,120.76316312704598,92.28689858560622,160.17402941987766,27.411446801820745,0.1244864709149973,67.88713083427143
34,2,0.4399999999999999,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-86312,123617-40845,123617-12534",59900,119.29999999999998,124.18590922581186,121.035215872877,92.1485069494196,159.96200829761392,27.135153798052933,0.1161111293631562,67.81350134819432
58,2,0.6799999999999999,"123617-138820,123617-55050,123617-6654,123617-152647,123617-90573,123617-151903,123617-103619,123617-86080,123617-12534",59900,119.09999999999998,123.98661890798192,120.53367045857937,92.15527302840462,159.88324760890268,27.663336291527276,0.1248203908962397,67.72797458049806
80,2,0.9000000000000001,"123617-138820,123617-55050,123617-102965,123617-90573,123617-25079,123617-110484,123617-151903,123617-86080,123617-12539",59900,119.0,124.05135047836283,121.0197315420307,92.46407826722276,160.19072875958673,26.715228860144684,0.113479055418271,67.72665049236397
32,2,0.42,"123617-138820,123617-152647,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12548",60000,119.29999999999998,125.73038477404825,122.55102169666458,94.04025061851692,161.76154651886364,27.25211550237241,0.1166648173462672,67.72129590034672
65,2,0.75,"123617-138820,123617-55050,123617-90573,123617-129471,123617-103539,123617-110484,123617-151903,123617-40845,123617-12548",59900,119.09999999999998,125.50140535118086,122.18957941672906,93.69786735824142,161.4118406584643,27.293267685157687,0.1213422288842608,67.71397330022289
child_261773,2,0.32,"123617-138820,123617-55050,123617-110484,123617-12542,123617-90573,123617-151903,123617-86312,123617-86080,123617-152316",59400,119.5,123.72121009656051,119.96921862523465,91.88583446491057,159.5922118451577,28.43535182387773,0.13194812902491482,67.70637738024712
25,2,0.35,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12548",59800,119.4,125.951909547169,122.5681043826156,93.679370168158,161.35026681255428,27.782467803427753,0.121796421703615,67.67089664439628
17,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12539",60000,119.59999999999998,124.57731579377663,121.35378488682088,93.10605484463878,160.77492767372763,27.80730789783033,0.1159238757955161,67.66887282908885
child_220528,3,2.257279751797859,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-86518,123617-103619,123617-86080,123617-152316",58900,117.6,122.05457621290815,118.42359985527335,90.00184719998768,157.6549234658942,28.058294838207374,0.12940830433823947,67.65307626590652
57,2,0.67,"123617-138820,123617-152316,123617-167031,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12548",60000,119.1,124.09763439043918,120.518593240335,92.16344257639398,159.79959035404534,27.49155081691542,0.1301869499447089,67.63614777765136
75,2,0.8500000000000001,"123617-138820,123617-55050,123617-152647,123617-90573,123617-129471,123617-167620,123617-151903,123617-86080,123617-12534",59900,119.0,124.81944410824144,121.29805197060551,93.0099051194692,160.59436679326046,27.573576989420665,0.1277089344986684,67.58446167379127
170,3,2.594218048907276,"123617-138820,123617-55050,123617-89951,123617-167620,123617-103539,123617-86518,123617-110484,123617-86080,123617-12538",60000,117.6,125.07496970143974,121.5189250883377,93.0245309637518,160.54854737769338,27.59863607488031,0.1288485635106686,67.52401641394158
48,2,0.58,"123617-138820,123617-55050,123617-89951,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12548",60000,119.1,125.3028408904486,122.30391647677097,93.85222801020872,161.3639080265879,27.289966269724324,0.1098911000489095,67.51168001637917
