name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
terrell jennings,RB,NE,NE@CIN,4900,0.63,1.133,2.92,5.55,1.23,1.0715836162801904,0.673723303000083,0.5009676050587365,0.5873058167811608,0.588023480835913,FALLBACK,3.1,,,5.133,,2.56,29.00,21.50,+1600,5.88,4427600,: 
raheem mostert,RB,LV,CLE@LV,5300,0.6,1.132,3.21,6,1.28,1.1662709371419244,0.7149854570890978,0.48748002796895085,0.6230529595015576,0.6728971962616823,ESPN,3.2,3.2,1.21,5.37,3.16,3.36,20.00,16.50,+3500,2.78,2576414,: 
dylan sampson,RB,CLE,CLE@LV,4800,0.77,1.117,3.26,5.36,1.3,1.1817271953786161,0.7149854570890978,0.3885019159311759,0.7392638036809815,0.6226993865030676,ESPN,3.7,2.55,0.85,5.29,3.24,3.13,16.50,20.00,+3500,2.78,5081397,: 
sean tucker,RB,TB,TB@LAR,6700,1.33,1.093,5.39,7.32,2.16,1.6845453849209058,0.7149854570890978,0.2388306785056973,0.7105751391465677,0.3,ESPN,8.9,4.05,1.56,5.5,3.43,3.61,21.50,28.00,+1200,7.69,4430871,: 
will shipley,RB,PHI,PHI@DAL,5200,0.52,1.063,2.89,5.53,1.46,1.061256502124341,0.5325077927436302,0.5057584887187597,0.4948096885813149,0.8927335640138406,ESPN,2.7,3.56,1.46,5.47,2.43,3.54,25.25,22.25,+6500,1.52,4431545,: 
devin neal,RB,NO,ATL@NO,5200,0.69,1.038,3.9,5.4,1.7,1.3609765531356006,0.647337714574516,0.25452188685185473,0.5641025641025642,0.3641025641025642,ESPN,3.6,4.23,1.7,5.32,4.19,3.59,20.50,19.00,+2800,3.45,4682652,: 
tank bigsby,RB,PHI,PHI@DAL,5300,0.87,1.017,3.22,5.39,1.29,1.169381359556317,0.7149854570890978,0.40206875465615793,0.7298136645962733,0.6490683229813662,ESPN,4.6,2.6,0.87,5.31,2.19,3.15,25.25,22.25,+4000,2.44,4429013,: 
kaleb johnson,RB,PIT,PIT@CHI,4600,0.65,0.985,2.63,4.53,1.05,0.9669838461896731,0.7149854570890978,0.424281088583592,0.8441064638783269,0.7224334600760458,ESPN,3,2.35,0.41,4.53,2.48,2.49,21.50,24.00,0,0,4819231,: 
lequint allen,RB,JAC,JAC@ARI,5000,0.56,0.982,2.35,4.91,0.94,0.8544153281560676,0.7149854570890978,0.5747687747027459,0.676595744680851,0.9957446808510639,ESPN,2.8,1.83,0.76,4.69,1.95,2.76,,,+1400,6.67,4911851,: 
kyle juszczyk,RB,SF,CAR@SF,4200,0.52,0.919,2.2,3.86,0.93,0.7884573603642703,0.6742767143822389,0.43865658512218525,0.5873058167811608,0.588023480835913,FALLBACK,2.2,,,,,,27.75,20.75,+4000,2.44,16002,: 
malik davis,RB,DAL,PHI@DAL,5400,0.48,0.772,2.6,4.17,1.07,0.9555114450274365,0.6903188037572864,0.3693553480869831,0.5873058167811608,0.588023480835913,FALLBACK,2.6,,,,,,22.25,25.25,+5500,1.79,4240603,: 
justice hill,RB,BAL,NYJ@BAL,4800,0.33,0.59,1.6,2.83,0.67,0.4700036292457356,0.6739693939031006,0.4457391582106368,0.5873058167811608,0.588023480835913,FALLBACK,1.6,,,,,,29.00,15.50,+2200,4.35,4038441,: 
isiah pacheco,RB,KC,IND@KC,5800,0.28,0.548,1.6,3.18,0.68,0.4700036292457356,0.6725261250194277,0.5368590854909522,0.5873058167811608,0.588023480835913,FALLBACK,1.6,,,,,,27.00,23.50,+650,13.33,4361529,: 
bucky irving,RB,TB,TB@LAR,7500,0.29,0.503,2.2,3.77,0.88,0.7884573603642703,0.7149854570890979,0.4210050752099881,0.5873058167811608,0.588023480835913,FALLBACK,2.2,,,,,,21.50,28.00,+700,12.50,4596448,Q: Shoulder
zavier scott,RB,MIN,MIN@GB,4400,0.3,0.473,1.3,2.08,0.52,0.26236426446749106,0.7149854570890978,0.3658316289313078,0.5873058167811608,0.588023480835913,FALLBACK,1.3,,,,,,17.50,24.00,+8000,1.23,4257364,: 
elijah mitchell,RB,KC,IND@KC,4100,0.24,0.451,1,1.85,0.42,0,0.6744247862971734,0.47917045797215885,0.5873058167811608,0.588023480835913,FALLBACK,1,,,,,,27.00,23.50,+6500,1.52,4241555,: 
jaydon blue,RB,DAL,PHI@DAL,5400,0.28,0.446,1.5,2.41,0.62,0.4054651081081644,0.6902914420500608,0.3701552236800075,0.5873058167811608,0.588023480835913,FALLBACK,1.5,,,,,,22.25,25.25,+5000,1.96,4685279,: 
