Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120838-92975,QB,Malik,Malik Cunningham,Cunningham,,0,6000,CLE@DET,DET,CLE,,,,,,QB
120838-154450,QB,Riley,Riley Leonard,Leonard,,0,6000,IND@LAR,IND,LAR,,,,,,QB
120838-8023,QB,Josh,Josh Johnson,Johnson,0.19499999284744263,4,6000,WAS@ATL,WAS,ATL,,,,,,QB
120838-119641,QB,Brady,Brady Cook,Cook,,0,6000,NYJ@MIA,NYJ,MIA,,,,,,QB
120838-90981,QB,Adrian,Adrian Martinez,Martinez,,0,6000,JAC@SF,SF,JAC,,,,,,QB
120838-53095,QB,Kyle,Kyle Allen,Allen,0.3799999952316284,2,6000,CLE@DET,DET,CLE,,,,,,QB
120838-63336,QB,Joe,Joe Burrow,Burrow,7.929999828338623,2,6000,CIN@DEN,CIN,DEN,IR,Toe,,,,QB
120838-92020,QB,Kenny,Kenny Pickett,Pickett,3.6342857905796597,7,6000,CHI@LV,LV,CHI,,,,,,QB
120838-184183,QB,Shedeur,Shedeur Sanders,Sanders,,0,6000,CLE@DET,CLE,DET,,,,,,QB
120838-14225,QB,Andy,Andy Dalton,Dalton,-0.10000000149011612,1,6000,CAR@NE,CAR,NE,,,,,,QB
120838-200653,QB,Max,Max Brosmer,Brosmer,1.159999966621399,1,6000,MIN@PIT,MIN,PIT,,,,,,QB
120838-85983,QB,Hendon,Hendon Hooker,Hooker,0.6700000166893005,4,6000,CAR@NE,CAR,NE,,,,,,QB
120838-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,LAC@NYG,LAC,NYG,,,,,,QB
120838-166916,WR,Matthew,Matthew Golden,Golden,4.066666603088379,3,5900,GB@DAL,GB,DAL,,,,,,WR/FLEX
120838-61593,WR,Jauan,Jauan Jennings,Jennings,10,2,5900,JAC@SF,SF,JAC,Q,Ankle,,,,WR/FLEX
120838-92575,RB,Isiah,Isiah Pacheco,Pacheco,4.166666666666667,3,5900,BAL@KC,KC,BAL,,,,,,RB/FLEX
120838-86518,WR,Khalil,Khalil Shakir,Shakir,7.866666793823242,3,5900,NO@BUF,BUF,NO,,,,,,WR/FLEX
120838-86687,WR,Hollywood,Hollywood Brown,Brown,8.866666793823242,3,5900,BAL@KC,KC,BAL,,,,,,WR/FLEX
120838-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,12.933333079020182,3,5800,LAC@NYG,NYG,LAC,,,,,,WR/FLEX
120838-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,5.400000254313151,3,5800,LAC@NYG,NYG,LAC,O,Shoulder,,,,RB/FLEX
120838-137530,TE,Tyler,Tyler Warren,Warren,8.866666793823242,3,5800,IND@LAR,IND,LAR,,,,,,TE/FLEX
120838-60957,WR,KaVontae,KaVontae Turpin,Turpin,8.266666412353516,3,5800,GB@DAL,DAL,GB,,,,,,WR/FLEX
120838-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,13.09999974568685,3,5800,IND@LAR,IND,LAR,,,,,,WR/FLEX
120838-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,10.533333460489908,3,5800,CAR@NE,CAR,NE,Q,Calf,,,,WR/FLEX
120838-71706,TE,T.J.,T.J. Hockenson,Hockenson,6.033333460489909,3,5700,MIN@PIT,MIN,PIT,,,,,,TE/FLEX
120838-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,6.433333079020183,3,5700,CAR@NE,NE,CAR,,,,,,RB/FLEX
120838-69777,WR,Darnell,Darnell Mooney,Mooney,4.699999809265137,2,5700,WAS@ATL,ATL,WAS,,,,,,WR/FLEX
120838-64808,TE,Juwan,Juwan Johnson,Johnson,11.033332824707031,3,5700,NO@BUF,NO,BUF,,,,,,TE/FLEX
120838-90561,WR,Jerry,Jerry Jeudy,Jeudy,6.133333206176758,3,5700,CLE@DET,CLE,DET,,,,,,WR/FLEX
120838-157467,WR,Keon,Keon Coleman,Coleman,10.59999974568685,3,5700,NO@BUF,BUF,NO,,,,,,WR/FLEX
120838-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,3.9000000953674316,1,5600,WAS@ATL,WAS,ATL,,,,,,RB/FLEX
120838-145558,TE,Dalton,Dalton Kincaid,Kincaid,11.199999491373697,3,5600,NO@BUF,BUF,NO,,,,,,TE/FLEX
120838-90573,WR,Jaylen,Jaylen Waddle,Waddle,10.90000025431315,3,5600,NYJ@MIA,MIA,NYJ,,,,,,WR/FLEX
120838-25079,WR,Stefon,Stefon Diggs,Diggs,5.900000254313151,3,5600,CAR@NE,NE,CAR,,,,,,WR/FLEX
120838-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,5.5,3,5600,BAL@KC,KC,BAL,,,,,,WR/FLEX
120838-90870,WR,Calvin,Calvin Austin III,Austin III,9.533333460489908,3,5600,MIN@PIT,PIT,MIN,,,,,,WR/FLEX
120838-85845,WR,Rashod,Rashod Bateman,Bateman,6.433333079020183,3,5600,BAL@KC,BAL,KC,,,,,,WR/FLEX
120838-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,8.566666920979818,3,5500,BAL@KC,BAL,KC,,,,,,WR/FLEX
120838-170287,WR,Rashid,Rashid Shaheed,Shaheed,8.566666920979818,3,5500,NO@BUF,NO,BUF,,,,,,WR/FLEX
120838-60858,WR,Christian,Christian Kirk,Kirk,4,1,5500,TEN@HOU,HOU,TEN,,,,,,WR/FLEX
120838-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,8.5,3,5500,WAS@ATL,WAS,ATL,Q,Knee,,,,RB/FLEX
120838-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,4.5,3,5500,GB@DAL,GB,DAL,,,,,,WR/FLEX
120838-40845,TE,Hunter,Hunter Henry,Henry,11.666666666666666,3,5500,CAR@NE,NE,CAR,,,,,,TE/FLEX
120838-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,8.5,3,5500,CAR@NE,NE,CAR,,,,,,RB/FLEX
120838-55335,TE,David,David Njoku,Njoku,5.900000254313151,3,5400,CLE@DET,CLE,DET,,,,,,TE/FLEX
120838-64555,WR,Calvin,Calvin Ridley,Ridley,5.033333460489909,3,5400,TEN@HOU,TEN,HOU,,,,,,WR/FLEX
