Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122899-60947,QB,Jarrett,Jarrett Stidham,Stidham,-0.10000000149011612,1,6000,KC@DEN,DEN,KC,,,,,,QB
122899-102933,QB,Kedon,Kedon Slovis,Slovis,0,1,6000,SF@ARI,ARI,SF,,,,,,QB
122899-22038,QB,Kirk,Kirk Cousins,Cousins,4.139999866485596,2,6000,CAR@ATL,ATL,CAR,,,,,,QB
122899-30253,QB,Jeff,Jeff Driskel,Driskel,0,1,6000,SF@ARI,ARI,SF,,,,,,QB
122899-64051,QB,Drew,Drew Lock,Lock,0.05000000074505806,2,6000,SEA@LAR,SEA,LAR,,,,,,QB
122899-63043,WR,DJ,DJ Moore,Moore,8.308888753255209,9,6000,CHI@MIN,CHI,MIN,,,,,,WR/FLEX
122899-208467,QB,Cam,Cam Miller,Miller,,0,6000,DAL@LV,LV,DAL,,,,,,QB
122899-41562,QB,Nick,Nick Mullens,Mullens,0.33000001311302185,4,6000,LAC@JAC,JAC,LAC,,,,,,QB
122899-44715,QB,Cooper,Cooper Rush,Rush,1.4299999475479126,4,6000,BAL@CLE,BAL,CLE,,,,,,QB
122899-69294,QB,Skylar,Skylar Thompson,Thompson,2.626666704813639,3,6000,CIN@PIT,PIT,CIN,IR,Hamstring,,,,QB
122899-70324,QB,Carson,Carson Wentz,Wentz,16.267999267578126,5,6000,CHI@MIN,MIN,CHI,IR,Shoulder,,,,QB
122899-73398,QB,Chris,Chris Oladokun,Oladokun,0.25,2,6000,KC@DEN,KC,DEN,,,,,,QB
122899-90813,QB,Clayton,Clayton Tune,Tune,-0.3466666539510091,6,6000,GB@NYG,GB,NYG,,,,,,QB
122899-139985,QB,Bailey,Bailey Zappe,Zappe,4.5,2,6000,BAL@CLE,CLE,BAL,,,,,,QB
122899-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,0.753333330154419,3,6000,TB@BUF,BUF,TB,,,,,,QB
122899-28434,QB,Trevor,Trevor Siemian,Siemian,,0,6000,HOU@TEN,TEN,HOU,,,,,,QB
122899-92975,QB,Malik,Malik Cunningham,Cunningham,,0,6000,DET@PHI,DET,PHI,,,,,,QB
122899-154462,QB,Jalen,Jalen Milroe,Milroe,-0.5333333412806193,3,6000,SEA@LAR,SEA,LAR,,,,,,QB
122899-90981,QB,Adrian,Adrian Martinez,Martinez,-0.10000000149011612,1,6000,SF@ARI,SF,ARI,,,,,,QB
122899-53095,QB,Kyle,Kyle Allen,Allen,-0.15000000596046448,2,6000,DET@PHI,DET,PHI,,,,,,QB
122899-63336,QB,Joe,Joe Burrow,Burrow,7.929999828338623,2,6000,CIN@PIT,CIN,PIT,IR,Toe,,,,QB
122899-88937,QB,Carter,Carter Bradley,Bradley,,0,6000,LAC@JAC,JAC,LAC,,,,,,QB
122899-184183,QB,Shedeur,Shedeur Sanders,Sanders,,0,6000,BAL@CLE,CLE,BAL,,,,,,QB
122899-56192,QB,John,John Wolford,Wolford,,0,6000,CHI@MIN,MIN,CHI,,,,,,QB
122899-14225,QB,Andy,Andy Dalton,Dalton,2.630000114440918,4,6000,CAR@ATL,CAR,ATL,,,,,,QB
122899-200653,QB,Max,Max Brosmer,Brosmer,0.5266666809717814,3,6000,CHI@MIN,MIN,CHI,,,,,,QB
122899-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,LAC@JAC,LAC,JAC,,,,,,QB
122899-63484,QB,Kyler,Kyler Murray,Murray,16.155999755859376,5,6000,SF@ARI,ARI,SF,IR,Foot,,,,QB
122899-63634,WR,Jakobi,Jakobi Meyers,Meyers,7.162499904632568,8,5900,LAC@JAC,JAC,LAC,,,,,,WR/FLEX
122899-137516,WR,Parker,Parker Washington,Washington,7.944444444444445,9,5900,LAC@JAC,JAC,LAC,,,,,,WR/FLEX
122899-92575,RB,Isiah,Isiah Pacheco,Pacheco,6.837500095367432,8,5900,KC@DEN,KC,DEN,O,Knee - mcl,,,,RB/FLEX
122899-128624,WR,Tez,Tez Johnson,Johnson,7.4375,8,5900,TB@BUF,TB,BUF,,,,,,WR/FLEX
122899-128810,TE,Theo,Theo Johnson,Johnson,7.790000152587891,10,5900,GB@NYG,NYG,GB,,,,,,TE/FLEX
122899-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,10.19000015258789,10,5800,GB@NYG,NYG,GB,,,,,,WR/FLEX
122899-83074,TE,Dallas,Dallas Goedert,Goedert,11.899999618530273,8,5800,DET@PHI,PHI,DET,,,,,,TE/FLEX
122899-103619,WR,Tre,Tre Tucker,Tucker,10.344444274902344,9,5800,DAL@LV,LV,DAL,,,,,,WR/FLEX
122899-52436,TE,Mark,Mark Andrews,Andrews,7.744444105360243,9,5800,BAL@CLE,BAL,CLE,,,,,,TE/FLEX
122899-63819,WR,Darius,Darius Slayton,Slayton,5.474999904632568,8,5800,GB@NYG,NYG,GB,O,Hamstring,,,,WR/FLEX
122899-169776,WR,Christian,Christian Watson,Watson,7.599999745686849,3,5800,GB@NYG,GB,NYG,,,,,,WR/FLEX
122899-86875,RB,Jordan,Jordan Mason,Mason,8.866667005750868,9,5800,CHI@MIN,MIN,CHI,,,,,,RB/FLEX
122899-110484,RB,RJ,RJ Harvey,Harvey,8.740000152587891,10,5800,KC@DEN,DEN,KC,,,,,,RB/FLEX
122899-145558,TE,Dalton,Dalton Kincaid,Kincaid,11.162500381469727,8,5700,TB@BUF,BUF,TB,O,Hamstring,,,,TE/FLEX
122899-90428,RB,Tyler,Tyler Allgeier,Allgeier,7.5,9,5700,CAR@ATL,ATL,CAR,,,,,,RB/FLEX
122899-102796,WR,Ricky,Ricky Pearsall,Pearsall,12.074999809265137,4,5700,SF@ARI,SF,ARI,,,,,,WR/FLEX
122899-90561,WR,Jerry,Jerry Jeudy,Jeudy,5.944444444444445,9,5700,BAL@CLE,CLE,BAL,,,,,,WR/FLEX
122899-90870,WR,Calvin,Calvin Austin III,Austin III,6.600000108991351,7,5700,CIN@PIT,PIT,CIN,,,,,,WR/FLEX
122899-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,7.200000339084202,9,5700,CIN@PIT,PIT,CIN,,,,,,RB/FLEX
122899-166916,WR,Matthew,Matthew Golden,Golden,5.275000095367432,8,5600,GB@NYG,GB,NYG,Q,Shoulder,,,,WR/FLEX
122899-69777,WR,Darnell,Darnell Mooney,Mooney,3.642857142857143,7,5600,CAR@ATL,ATL,CAR,,,,,,WR/FLEX
122899-63759,RB,Tony,Tony Pollard,Pollard,8.866667005750868,9,5600,HOU@TEN,TEN,HOU,,,,,,RB/FLEX
122899-170287,WR,Rashid,Rashid Shaheed,Shaheed,8.819999694824219,10,5600,SEA@LAR,SEA,LAR,,,,,,WR/FLEX
122899-33076,TE,Travis,Travis Kelce,Kelce,10.5,9,5600,KC@DEN,KC,DEN,,,,,,TE/FLEX
122899-185861,RB,Emanuel,Emanuel Wilson,Wilson,3.2222222222222223,9,5600,GB@NYG,GB,NYG,,,,,,RB/FLEX
122899-92859,WR,Jalen,Jalen Nailor,Nailor,6.466666751437717,9,5600,CHI@MIN,MIN,CHI,,,,,,WR/FLEX
122899-174215,RB,Omarion,Omarion Hampton,Hampton,14,5,5500,LAC@JAC,LAC,JAC,IR,Ankle,,,,RB/FLEX
122899-89612,WR,Michael,Michael Wilson,Wilson,4.4555553860134545,9,5500,SF@ARI,ARI,SF,,,,,,WR/FLEX
122899-88699,RB,Jaret,Jaret Patterson,Patterson,2.5,3,5500,LAC@JAC,LAC,JAC,,,,,,RB/FLEX
122899-86687,WR,Hollywood,Hollywood Brown,Brown,8.877777947319878,9,5500,KC@DEN,KC,DEN,,,,,,WR/FLEX
122899-142042,RB,Trey,Trey Benson,Benson,7.224999904632568,4,5500,SF@ARI,ARI,SF,IR,Knee - meniscus,,,,RB/FLEX
122899-86811,TE,Cade,Cade Otton,Otton,6.599999904632568,8,5500,TB@BUF,TB,BUF,,,,,,TE/FLEX
122899-27477,WR,Sterling,Sterling Shepard,Shepard,5.522222306993273,9,5500,TB@BUF,TB,BUF,,,,,,WR/FLEX
122899-103252,RB,Zonovan,Zonovan Knight,Knight,5.4571429661342075,7,5500,SF@ARI,ARI,SF,Q,Ankle,,,,RB/FLEX
122899-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,3.671428680419922,7,5500,GB@NYG,GB,NYG,,,,,,WR/FLEX
122899-53562,RB,Nick,Nick Chubb,Chubb,7.066666497124566,9,5400,HOU@TEN,HOU,TEN,,,,,,RB/FLEX
122899-137953,TE,AJ,AJ Barner,Barner,7.233333163791233,9,5400,SEA@LAR,SEA,LAR,,,,,,TE/FLEX
122899-137967,RB,Blake,Blake Corum,Corum,4.466666751437717,9,5400,SEA@LAR,LAR,SEA,,,,,,RB/FLEX
122899-157467,WR,Keon,Keon Coleman,Coleman,7.555555555555555,9,5400,TB@BUF,BUF,TB,,,,,,WR/FLEX
122899-172861,WR,Elic,Elic Ayomanor,Ayomanor,6.3666665818956165,9,5400,HOU@TEN,TEN,HOU,,,,,,WR/FLEX
122899-147315,WR,Jayden,Jayden Higgins,Higgins,5.288888719346788,9,5400,HOU@TEN,HOU,TEN,,,,,,WR/FLEX
122899-70603,RB,Devin,Devin Singletary,Singletary,2.7600000381469725,10,5400,GB@NYG,NYG,GB,,,,,,RB/FLEX
122899-129112,WR,Chimere,Chimere Dike,Dike,4.844444274902344,9,5300,HOU@TEN,TEN,HOU,,,,,,WR/FLEX
122899-79970,WR,Cooper,Cooper Kupp,Kupp,6.837500095367432,8,5300,SEA@LAR,SEA,LAR,,,,,,WR/FLEX
122899-94579,RB,Emari,Emari Demercado,Demercado,5.071428571428571,7,5300,SF@ARI,ARI,SF,,,,,,RB/FLEX
122899-60858,WR,Christian,Christian Kirk,Kirk,4.259999847412109,5,5300,HOU@TEN,HOU,TEN,,,,,,WR/FLEX
122899-60957,WR,KaVontae,KaVontae Turpin,Turpin,4.928571428571429,7,5300,DAL@LV,DAL,LV,,,,,,WR/FLEX
122899-55042,TE,Dalton,Dalton Schultz,Schultz,8.033333672417534,9,5300,HOU@TEN,HOU,TEN,,,,,,TE/FLEX
122899-107293,RB,Tyjae,Tyjae Spears,Spears,7.459999847412109,5,5300,HOU@TEN,TEN,HOU,,,,,,RB/FLEX
122899-152520,RB,Will,Will Shipley,Shipley,1.3285714558192663,7,5300,DET@PHI,PHI,DET,,,,,,RB/FLEX
122899-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,5.477777693006727,9,5300,CHI@MIN,CHI,MIN,,,,,,WR/FLEX
122899-71706,TE,T.J.,T.J. Hockenson,Hockenson,5.733333163791233,9,5200,CHI@MIN,MIN,CHI,,,,,,TE/FLEX
122899-64555,WR,Calvin,Calvin Ridley,Ridley,6.666666666666667,6,5200,HOU@TEN,TEN,HOU,Q,Hamstring,,,,WR/FLEX
