name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
jaleel mclaughlin,RB,DEN,KC@DEN,4000,0.6,1.018,2.4,4.07,0.97,0.8754687373538999,0.7065619020857403,0.4124508835180856,0.546384830071973,0.6646131192707947,FALLBACK,2.4,,,,,,20.50,25.00,+3000,3.23,4722893,: 
isaiah hodgins,WR,NYG,GB@NYG,4000,0.45,1.018,1.8,4.07,1.19,0.5877866649021191,0.3199721184544682,0.636291135462978,0.3688407230803515,1.2304197946060706,FALLBACK,1.8,,,,,,17.25,24.25,+3500,2.78,4242540,: 
dylan sampson,RB,CLE,BAL@CLE,5000,0.76,0.982,3.54,4.91,1.42,1.264126727145683,0.7149854570890978,0.2550322165792013,0.8502824858757061,0.37288135593220345,ESPN,3.8,2.57,0.53,4.86,4.15,2.8,15.50,23.00,+4500,2.17,5081397,: 
tre harris,WR,LAC,LAC@JAC,5100,0.75,0.961,3.87,4.9,3.28,1.3532545070416904,0.13018539216908154,0.18358532732599028,0.1550387596899225,0.3,ESPN,3.8,4.11,3.27,5.02,3.58,4.34,23.25,20.25,+2500,3.85,4686612,: 
luke farrell,TE,SF,SF@ARI,4300,0.47,0.949,2,4.08,0.99,0.6931471805599453,0.5494822938497225,0.556470685155581,0.5056766934100616,1.0185391151935956,FALLBACK,2,,,,,,26.00,22.50,+6500,1.52,4040612,: 
tank bigsby,RB,PHI,DET@PHI,5200,0.67,0.944,2.48,4.91,0.99,0.9082585601768908,0.7149854570890978,0.5334736793504828,0.903225806451613,0.9556451612903224,ESPN,3.5,2.12,0.24,4.85,1.58,2.63,24.50,22.00,+5000,1.96,4429013,: 
charlie kolar,TE,BAL,BAL@CLE,4200,0.6,0.926,2.5,3.89,1.16,0.9162907318741551,0.5981522614684934,0.34551749292206657,0.5056766934100616,1.0185391151935956,FALLBACK,2.5,,,,,,23.00,15.50,+4000,2.44,4241263,: 
jerome ford,RB,CLE,BAL@CLE,4700,0.74,0.919,3.08,4.32,1.54,1.1249295969854831,0.5418021419618788,0.26446015644328036,0.4512987012987013,0.39285714285714285,ESPN,3.5,2.96,1.69,4.29,2.7,3.11,15.50,23.00,+6000,1.64,4372019,: 
michael carter,RB,ARI,SF@ARI,4800,0.6,0.919,2.61,4.41,1.06,0.959350221334602,0.7067493849086646,0.408413557612361,0.546384830071973,0.6646131192707947,FALLBACK,2.9,,,5.133,,2.03,22.50,26.00,+4500,2.17,4240657,: 
kaleb johnson,RB,PIT,CIN@PIT,4700,0.49,0.911,2.3,4.28,1.07,0.832909122935104,0.5989032924547449,0.4838964181646885,0.546384830071973,0.6646131192707947,FALLBACK,2.3,,,,,,27.00,21.50,+4000,2.44,4819231,: 
