Score,Total Projected Pts,Total Cost,Proj Pts Weight,QB,SP1,SP2,SP3,SP4,SP5,SP6,SP7,D
9.48816,120.7,60000,0.67,drake maye,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,george pickens,keenan allen,travis kelce,packers
9.48649,122.4,60000,0.67,caleb williams,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,george pickens,ladd mcconkey,trey mcbride,browns
9.48569,121.5,59900,0.67,caleb williams,rico dowdle,jacory croskeymerritt,javonte williams,drake london,puka nacua,keenan allen,zach ertz,browns
9.48276,122.0,60000,0.67,caleb williams,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,george pickens,ladd mcconkey,trey mcbride,packers
9.48269,122.2,59900,0.67,caleb williams,rico dowdle,rachaad white,josh jacobs,stefon diggs,puka nacua,keenan allen,zach ertz,browns
9.48195,121.1,59900,0.67,caleb williams,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,zach ertz,packers
9.48183,121.7,60000,0.67,caleb williams,rico dowdle,rachaad white,javonte williams,stefon diggs,puka nacua,keenan allen,travis kelce,browns
9.48164,122.5,60000,0.67,drake maye,rico dowdle,rachaad white,javonte williams,stefon diggs,drake london,keenan allen,trey mcbride,packers
9.4812,121.3,60000,0.67,caleb williams,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,keenan allen,tetairoa mcmillan,zach ertz,browns
9.48055,122.2,59800,0.67,caleb williams,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,keenan allen,trey mcbride,packers
9.48038,121.1,60000,0.67,drake maye,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,emeka egbuka,michael mayer,browns
9.479,122.0,60000,0.67,drake maye,rico dowdle,rachaad white,josh jacobs,george pickens,keenan allen,ladd mcconkey,trey mcbride,browns
9.47836,120.9,59900,0.67,drake maye,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,keenan allen,travis kelce,packers
9.47826,120.9,60000,0.67,drake maye,rico dowdle,jacory croskeymerritt,javonte williams,george pickens,keenan allen,ladd mcconkey,trey mcbride,packers
9.4781,121.5,60000,0.67,caleb williams,rico dowdle,jacory croskeymerritt,javonte williams,drake london,puka nacua,ladd mcconkey,zach ertz,browns
9.4779,121.5,59800,0.67,drake maye,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,trey mcbride,browns
9.47709,122.0,59900,0.67,drake maye,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,michael mayer,browns
9.47596,121.8,60000,0.67,drake maye,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,george pickens,emeka egbuka,sam laporta,browns
9.47344,122.1,60000,0.67,patrick mahomes,rico dowdle,christian mccaffrey,ashton jeanty,stefon diggs,george pickens,keenan allen,cade otton,browns
