QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,lineupid
drake maye,devon achane,christian mccaffrey,jauan jennings,john metchie,wandale robinson,kyle pitts sr,rj harvey,chargers,mutated_531192,"drake maye,chargers,jauan jennings,john metchie,wandale robinson,devon achane,christian mccaffrey,rj harvey,kyle pitts sr",,,,,131.7001709265052,129.83335836762285,108.91355141014935,156.31011759253192,19.189293758978696,0.09728406799801374,129.83335836762285,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,rj harvey,cardinals,,"drake maye,cardinals,tetairoa mcmillan,wandale robinson,troy franklin,devon achane,christian mccaffrey,rj harvey,kyle pitts sr",,,,,132.47191225995834,129.8076432493371,107.6544310974075,160.62178961099585,21.174409173169405,0.12582495165896757,129.8076432493371,child_516241
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rj harvey,dolphins,33,"drake maye,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,dolphins",2.0,0.6466666666666667,119.5,59900.0,132.0297038045543,129.7021740442155,105.87116641034022,159.38470707708467,22.154991535955617,0.1050566756733539,129.7021740442155,
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,troy franklin,kyle pitts sr,rj harvey,saints,12,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,troy franklin,kyle pitts sr,saints",1.0,0.0,119.9,60000.0,131.34494248960792,129.506925735531,108.95214779276984,157.45320247942854,19.5657538121062,0.0939405029690009,129.506925735531,
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,michael pittman,kyle pitts sr,rj harvey,chargers,child_944005,"drake maye,chargers,jaylen waddle,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,rj harvey,kyle pitts sr",,,,,131.75844116296142,129.19590430149154,106.80441234445344,160.33488105844873,21.779932596168322,0.11765586739789541,129.19590430149154,
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,rj harvey,raiders,48,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,raiders",2.0,1.0466666666666666,119.3,59800.0,131.90874164179962,129.05852277009984,108.43463971273812,158.170724684016,20.465354205526545,0.1392704393520878,129.05852277009984,
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,hunter henry,rj harvey,raiders,32,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,michael pittman,hunter henry,raiders",2.0,0.6200000000000001,119.5,59900.0,131.38033773982465,128.51974456989583,106.03278695684682,160.00841548417773,21.99682676567877,0.1300457197940999,128.51974456989583,
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,rj harvey,cardinals,13,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,cardinals",1.0,0.0,119.8,59900.0,130.73859158362458,128.35769092624426,104.95165298128413,157.99651482199917,21.41302001725945,0.1111893911022945,128.35769092624426,
bo nix,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,rj harvey,chargers,16,"bo nix,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,chargers",1.0,0.0,119.8,60000.0,131.38999706198695,128.3280198323647,107.71268877423536,159.6993921103957,21.13296115553931,0.1448910641100406,128.3280198323647,
bo nix,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,troy franklin,hunter henry,rj harvey,falcons,31,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,troy franklin,hunter henry,falcons",2.0,0.5933333333333333,119.5,60000.0,129.7757525215268,128.253930686667,105.83713031900254,156.272654766046,20.817752756653665,0.073102118785296,128.253930686667,
