lineup_id,tier,temperature,player_ids,total_salary,milp_projection,mean,median,p10,p90,std,skewness,fitness
68,1,0.0,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12539",59900,119.3,125.46506258697632,122.19846423622366,93.65699814103134,160.15915237591844,27.11474176043389,0.12047314997922322,160.15915237591844
69,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-86518,123617-110484,123617-151903,123617-86080,123617-12546",60000,119.59999999999998,124.45624612739067,120.68093721512773,92.3682788447307,160.15420949951883,28.231407519087437,0.1337272649162261,160.15420949951883
70,1,0.0,"123617-138820,123617-6654,123617-152647,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",59900,134.7,125.17589020865285,122.03769408264529,92.84819387148015,160.11237538379686,27.36778970445607,0.11466750365655545,160.11237538379686
71,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12540",60000,119.89999999999998,124.68062053564785,121.1071901100351,93.07828101863602,160.10355383274631,27.27896716666842,0.13099581094034377,160.10355383274631
72,3,2.5446924924450105,"123617-138820,123617-55050,123617-90573,123617-129471,123617-103539,123617-110484,123617-103619,123617-40845,123617-12550",59800,117.19999999999996,124.57596582454693,121.25961757974093,93.51815479762763,160.1024181910196,26.731487387464817,0.12406149335188611,160.1024181910196
73,2,0.9208955223880596,"123617-138820,123617-55050,123617-152316,123617-167620,123617-103539,123617-110484,123617-103619,123617-40845,123617-12539",59800,117.59999999999998,124.32690767907968,121.53235392018631,92.2024093501003,160.09796836289212,27.387311033013813,0.10203826712029887,160.09796836289212
74,3,2.6279334096875093,"123617-138820,123617-152647,123617-102965,123617-90573,123617-25079,123617-110484,123617-86312,123617-86080,123617-12550",59900,117.0,123.62282049883852,119.72442806321801,93.41345343924166,160.04594234517114,27.047959679102224,0.14412889112048186,160.04594234517114
75,3,2.856491631929989,"123617-138820,123617-152647,123617-89951,123617-90573,123617-167620,123617-110484,123617-151903,123617-103587,123617-12550",60000,117.29999999999998,123.6654238565646,120.0244603485942,92.58723603106286,160.04230159249758,27.03073461765339,0.13469717192194014,160.04230159249758
76,3,1.9995720253885132,"123617-138820,123617-55050,123617-152316,123617-45889,123617-90573,123617-86312,123617-40845,123617-107293,123617-12537",59900,117.0,122.48777253092501,118.15269270651197,89.92157764260111,160.03168014195202,29.23917495474604,0.14826272735542362,160.03168014195202
77,3,2.3730046254374484,"123617-138820,123617-55050,123617-102965,123617-167620,123617-103539,123617-110484,123617-86312,123617-64808,123617-12548",60000,117.4,124.31701372259137,121.1251258876771,93.06117913935654,160.00219449164345,27.120178858228467,0.11769420296230185,160.00219449164345
