id,name,position,team,opponent,game,salary,fppg,injury_status,fpProjPts,espnScoreProjection,espnSimulationProjection,espnOutsideProjection,espnLowScore,espnHighScore,tdOdds,tdProbability,espnOutsideProjection_fp,espnScoreProjection_fp,espnSimulationProjection_fp,espnLowScore_fp,espnHighScore_fp,consensus,floor_shootout,ceiling_shootout,floor_defensive,ceiling_defensive,floor_blowout_favorite,ceiling_blowout_favorite,floor_blowout_underdog,ceiling_blowout_underdog,floor_competitive,ceiling_competitive,mu_shootout,sigma_shootout,shift_shootout,mu_defensive,sigma_defensive,shift_defensive,mu_blowout_favorite,sigma_blowout_favorite,shift_blowout_favorite,mu_blowout_underdog,sigma_blowout_underdog,shift_blowout_underdog,mu_competitive,sigma_competitive,shift_competitive,td_odds_floor_mult,td_odds_ceiling_mult,game_id,shootout_prob,defensive_prob,blowout_prob,competitive_prob,is_favorite
123865-85671,Justin Jefferson,WR,MIN,WAS,WAS@MIN,8100,10.77500025431315,,11.2,,,,,,850,10.53,,,,,,11.2,4.3389,24.15468,4.3389,18.324240000000003,4.62816,18.324240000000003,4.91742,22.488840000000003,4.91742,20.823,2.3365108776993972,0.673900959437035,0.0,2.1983841893853184,0.566120131862312,0.0,2.2306534499541035,0.5409402940497986,0.0,2.363362967185328,0.5971884368111525,0.0,2.3248824466172637,0.5671619270688685,0.0,1.005265,1.015795,MIN@WAS,0.23877322019874606,0.2639776831796673,0.06301791260740049,0.43423118401418626,False
123865-63336,Joe Burrow,QB,CIN,BUF,CIN@BUF,8100,11.699999491373696,,18.6,,,,,,4500,2.17,,,,,,18.6,8.035200000000001,34.686679999999996,8.035200000000001,28.49263,8.57088,28.49263,8.57088,33.44787,9.106560000000002,30.97025,2.817260883668375,0.571451513590182,0.0,2.718905736545348,0.4947045845025251,0.0,2.7511749971141337,0.4695247466900118,0.0,2.8313463221517234,0.5320827640129594,0.0,2.8231781124918767,0.47840343239195837,0.0,1.001085,1.003255,CIN@BUF,0.4685293868961084,0.11162202482062322,0.24847225564099837,0.1713763326422698,False
123865-152664,Bucky Irving,RB,TB,NO,NO@TB,8000,16.11999969482422,,14.9,,,,,,550,15.38,,,,,,14.9,7.424460000000002,21.753165000000003,7.836930000000001,23.824895,7.836930000000001,26.93249,6.187050000000001,21.753165000000003,7.011990000000001,24.860760000000003,2.5575038562266696,0.4253151675228548,0.0,2.6300233559646706,0.4397135569157032,0.0,2.6913245170108366,0.4875471070390772,0.0,2.466343077829692,0.4964483008652016,0.0,2.5956903456189564,0.49971319082183807,0.0,1.00769,1.02307,NO@TB,0.14653447877801315,0.39022245740895156,0.3700878139141052,0.09315524989893008,True
123865-6654,Matthew Stafford,QB,LAR,ARI,LAR@ARI,8000,20.49333318074544,,20.4,,,,,,8000,1.23,,,,,,20.4,8.9343,37.451119999999996,8.9343,30.763419999999996,9.52992,30.763419999999996,9.52992,36.11358,10.125539999999999,33.4385,2.9076962645254674,0.5596213768471645,0.0,2.80934111740244,0.48287444775950755,0.0,2.8416103779712256,0.45769460994699424,0.0,2.9217817030088153,0.5202526272699417,0.0,2.9136134933489686,0.46657329564894084,0.0,1.000615,1.001845,ARI@LAR,0.3063117141622316,0.15947996934907177,0.493949934956998,0.04025838153169875,True
123865-169410,Quinshon Judkins,RB,CLE,TEN,TEN@CLE,7900,12.736364191228692,,13.4,,,,,,360,21.74,,,,,,13.4,6.525360000000001,20.02539,6.887880000000001,21.93257,6.887880000000001,24.79334,5.437800000000001,20.02539,6.162840000000001,22.88616,2.457799008220531,0.4457811556458906,0.0,2.530318507958532,0.46017954503873876,0.0,2.5916196690046984,0.5080130951621129,0.0,2.3666382298235535,0.5169142889882373,0.0,2.4959854976128177,0.5201791789448738,0.0,1.01087,1.03261,TEN@CLE,0.1618514994281709,0.4619230546991885,0.13910014181140404,0.23712530406123652,True
123865-41535,Baker Mayfield,QB,TB,NO,NO@TB,7900,17.191666920979817,,17.0,,,,,,3500,2.78,,,,,,17.0,7.236000000000001,32.2294,7.236000000000001,26.474149999999998,7.718400000000002,26.474149999999998,7.718400000000002,31.078350000000004,8.200800000000001,28.77625,2.728749005740262,0.5838948845144205,0.0,2.630393858617235,0.5071479554267635,0.0,2.6626631191860204,0.4819681176142502,0.0,2.74283444422361,0.5445261349371977,0.0,2.7346662345637633,0.49084680331619684,0.0,1.00139,1.00417,NO@TB,0.14653447877801315,0.39022245740895156,0.3700878139141052,0.09315524989893008,True
123865-69189,Justin Herbert,QB,LAC,PHI,PHI@LAC,7900,19.831666310628258,Q,15.8,,,,,,3000,3.23,,,,,,15.8,6.636600000000001,30.386439999999997,6.636600000000001,24.960289999999997,7.079040000000003,24.960289999999997,7.079040000000003,29.30121,7.521480000000002,27.13075,2.6565216192371883,0.5948322005047217,0.0,2.558166472114161,0.5180852714170648,0.0,2.5904357326829466,0.4929054336045514,0.0,2.6706070577205367,0.555463450927499,0.0,2.66243884806069,0.501784119306498,0.0,1.001615,1.004845,LAC@PHI,0.20221948685449184,0.3295274644285589,0.06197252047882672,0.4062805282381225,False
123865-102965,Bo Nix,QB,DEN,LV,DEN@LV,7700,19.13166681925456,,17.4,,,,,,1400,6.67,,,,,,17.4,7.4358,32.84372,7.4358,26.978769999999994,7.931520000000001,26.978769999999994,7.931520000000001,31.67073,8.42724,29.324749999999998,2.7556757302672934,0.5821381876371481,0.0,2.657320583144266,0.5053912585494912,0.0,2.6895898437130517,0.48021142073697787,0.0,2.7697611687506414,0.5427694380599255,0.0,2.7615929590907946,0.48909010643892453,0.0,1.003335,1.010005,LV@DEN,0.10787868917105227,0.41982201230795435,0.41608102642715816,0.05621827209383513,True
123865-152113,Caleb Williams,QB,CHI,GB,CHI@GB,7600,18.97333272298177,,15.1,,,,,,2000,4.76,,,,,,15.1,6.28695,29.311379999999996,6.28695,24.077204999999996,6.70608,24.077204999999996,6.70608,28.264545,7.12521,26.170875,2.612971848071515,0.6024873599269264,0.0,2.514616700948488,0.5257404308392695,0.0,2.5468859615172734,0.500560593026756,0.0,2.627057286554863,0.5631186103497037,0.0,2.618889076895017,0.5094392787287028,0.0,1.00238,1.00714,CHI@GB,0.2092019684965326,0.320705430262647,0.3107920757201413,0.15930052552067914,False
123865-87770,Chris Olave,WR,NO,TB,NO@TB,7600,12.191666920979818,Q,11.5,,,,,,1200,7.69,,,,,,11.5,4.488750000000001,24.631874999999994,4.488750000000001,18.686249999999998,4.788000000000001,18.686249999999998,5.087250000000001,22.933124999999997,5.087250000000001,21.234374999999996,2.3604611042261343,0.6671984442728248,0.0,2.222334415912055,0.5594176166981017,0.0,2.2546036764808406,0.5342377788855884,0.0,2.387313193712065,0.5904859216469422,0.0,2.3488326731440003,0.5604594119046583,0.0,1.003845,1.011535,NO@TB,0.14653447877801315,0.39022245740895156,0.3700878139141052,0.09315524989893008,False
